Title,Date,Description,Picture filename,Count of search phrases,Contains money
"After Pandemic Rebound, U.S. Manufacturing Droops",May 2,"Factories that roared out of the recession have stalled, hampering the economy, even as a new wave of production looms.",02eon-factories-01-zjgp-threeByTwoSmallAt2X.jpg,1,False
Why the 14th Amendment&nbsp;Is Being Cited in the Debt Ceiling Debate,May 2,Some Biden administration officials believe a constitutional clause prevents the United States from failing to make payments even if it means breaching the debt limit.,02dc-14thamendment-explainer-tmgk-threeByTwoSmallAt2X.jpg,0,False
What’s Driving Dollar Doomsaying?,May 2,Send in the cranks — but also some people I expected to know better.,02krugman-newsletter-image-threeByTwoSmallAt2X.jpg,0,False
Writers Go on Strike and Late Shows Go Dark,May 2,"How long they stay off the air is an open question. During the last strike, they gradually returned after a couple of months.",02LATENIGHT-picket-jgfk-threeByTwoSmallAt2X.jpg,0,False
Markets Sink on Fears About Banks and Weaker Economic Outlook,May 2,"The relative calm that met the collapse of First Republic Bank on Monday was shattered on Tuesday, with broad-based declines across industries.",02stocks-promo-vcwj-threeByTwoSmallAt2X.jpg,0,False
Everything You Need to Know About the Debt Ceiling,May 2,Congress controls how much money the United States can borrow. Here’s a look at why that is and what it means.,02dc-debtlimit-explainer-hgmv-threeByTwoSmallAt2X.jpg,0,False
House Democrats Move to Force a Debt-Limit Increase as Default Date Looms,May 2,House Democratic leaders who have been quietly planning a strategy to force a debt ceiling increase to avert default began taking steps on Tuesday to deploy their secret weapon.,02dc-discharge1-gflt-threeByTwoSmallAt2X.jpg,0,False
Is the Debt Limit Constitutional? Biden Aides Are Debating It.,May 2,"As the government heads toward a possible default on its debt as soon as next month, officials are entertaining a legal theory that previous administrations ruled out.",02dc-debtlimit1-cjqg-threeByTwoSmallAt2X.jpg,0,False
How JPMorgan Became Banking’s Regular Rescuer,May 2,The largest bank is also the only one whose stability hasn’t been questioned. Its C.E.O. makes sure of that.,02jpmorgan-threeByTwoSmallAt2X-v2.jpg,0,False
Job Openings Slipped in March as Labor Market Continued Cooling,May 2,The ratio of open jobs to available unemployed workers fell to the lowest level since October 2021.,02econ-jolts-bhkc-threeByTwoSmallAt2X.jpg,0,False
"Sudan’s Warring Generals Agree to Weeklong Truce, Says South Sudan",May 2,"The battle has sent 100,000 refugees fleeing across borders. Now, neighboring South Sudan says both sides have agreed to name representatives to peace talks, but neither side has publicly confirmed.",02sudan-01-wqjc-threeByTwoSmallAt2X.jpg,0,False
Why Many on Wall Street Fear the Banking Crisis Isn’t Over,May 2,"Even after the sale of First Republic, investors are worried about challenges that regional banks still face, imperiling the economy.",02db-frc-mlqv-threeByTwoSmallAt2X.jpg,1,False
Uber’s Revenue Up 29% as U.S. Ride-Hailing Business Improves,May 2,The company said its financial results in the most recent quarter were about in line with the expectations of investors.,02uber-gbqc-threeByTwoSmallAt2X.jpg,0,False
Eurozone Inflation Rises as Policymakers Weigh a Rate Increase,May 2,"The annual rate of inflation reached 7 percent, but the underlying “core” rate eased for the first time in 10 months.",02EUROZONE-INFLATION-bplj-threeByTwoSmallAt2X.jpg,0,False
A Brutal Sex Trade Built for American Soldiers,May 2,"It’s a long-buried part of South Korean history: women compelled by force, trickery or desperation into prostitution, with the complicity of their own leaders.",00skorea-comfortwomen-01-cmkw-threeByTwoSmallAt2X.jpg,0,False
"Discreetly, Berlin Confronts Russian Spies Hiding in Plain Sight",May 2,"For years, Germany seemed to tolerate even flagrant Russian operations on its soil. But a new Cold War-like chill has now made the snooping difficult to ignore.",00germany-spies-01-lmwt-threeByTwoSmallAt2X.jpg,0,False
"In China, It’s Time to Splurge Again, and the Luxury Industry Is Relieved",May 2,The end of pandemic-era restrictions has unleashed a luxury spending rebound in China. Which Western brands are coming out on top?,00china-luxury-kmcp-threeByTwoSmallAt2X.jpg,0,False
The ‘Woke Mind Virus’ Is Eating Away at Republicans’ Brains,May 2,President Biden is the primary beneficiary of the G.O.P.’s deepening radicalism.,02bouie-lead-hkjt-threeByTwoSmallAt2X.jpg,0,False
Jay Inslee Sees Greener Pastures Ahead,May 2,"After nearly 30 years in elected office, Washington’s governor plans to shift his focus to climate solutions and clean energy, underscoring the need for “a sense of optimism and confidence.”",02Inslee-QA-01-lfbq-threeByTwoSmallAt2X.jpg,0,False
Fed Will Decide Next Rate Move After Bank Jitters,May 2,The Federal Reserve will release a policy decision on Wednesday on the heels of another bank collapse.,00dc-FIRST-REPUBLIC-FED-IMPACT-wjtf-threeByTwoSmallAt2X.jpg,0,False
My Country Is Reaching Out to People the West Can’t Stand,May 2,"Under President Luiz Inácio Lula da Silva, Brazil is charting its own course.",02barbara-ctwg-threeByTwoSmallAt2X.jpg,0,False
"Hollywood Writers Go on Strike, Halting Production",May 1,"The dispute, which pits 11,500 television and screenwriters against the major studios, has shattered 15 years of labor peace in the entertainment business.",00HFO-writers-strike-ltgq-threeByTwoSmallAt2X.jpg,0,False
